,PC1_loading,PC2_loading
0.0,-0.00026830088,0.00031858415
0.1111111111111111,-1.5361333e-05,1.3190537e-05
0.2222222222222222,-1.4598624e-05,1.2525489e-05
0.3333333333333333,-1.4457741e-05,1.21795765e-05
0.4444444444444444,-1.4161609e-05,1.0842189e-05
0.5555555555555556,-1.3257131e-05,1.2703402e-05
0.6666666666666666,-1.4523643e-05,1.1478729e-05
0.7777777777777777,-1.1881147e-05,8.036402e-06
0.8888888888888888,-1.6637934e-05,1.1376042e-05
1.0,-2.3200453e-05,-2.5629444e-05
1.1111111111111112,-2.568961e-05,-7.2696275e-06
1.222222222222222,-3.3575343e-05,3.77802e-06
1.3333333333333333,-2.1773243e-05,3.216059e-05
1.4444444444444444,-4.288565e-05,-2.4435622e-05
1.5555555555555554,-4.1980777e-05,2.080834e-05
1.6666666666666665,-2.2952767e-05,2.3690488e-07
1.7777777777777777,-3.400324e-05,3.9632472e-05
1.8888888888888888,-4.2967196e-05,3.653158e-05
2.0,-4.2472042e-05,4.6379777e-05
2.111111111111111,-3.8841044e-05,4.060464e-06
2.2222222222222223,-4.8833022e-05,1.5394386e-05
2.333333333333333,-6.359402e-05,6.508255e-06
2.444444444444444,-5.8439866e-05,-1.6366024e-06
2.5555555555555554,-7.0000744e-05,1.1110992e-05
2.6666666666666665,-6.394974e-05,1.1704049e-06
2.7777777777777777,-4.473925e-05,-3.4873123e-05
2.888888888888889,-9.598854e-05,-3.9188464e-05
3.0,-7.142681e-05,-1.9493342e-05
3.1111111111111107,-7.8351746e-05,-2.500902e-05
3.222222222222222,-9.318415e-05,-5.6549634e-05
3.333333333333333,-6.4552485e-05,-2.555758e-05
3.444444444444444,-7.786519e-05,-3.4839435e-05
3.5555555555555554,-7.016521e-05,-3.595802e-05
3.6666666666666665,-5.4414388e-05,-2.9770068e-05
3.7777777777777777,-9.391366e-05,-0.000111754714
3.888888888888889,-0.00011547593,-8.158002e-05
4.0,-4.385152e-05,-7.3776944e-05
4.111111111111111,-8.4504194e-05,-6.155692e-05
4.222222222222222,-0.00010247202,-7.446382e-05
4.333333333333333,-9.992093e-05,-7.83271e-05
4.444444444444445,-9.760128e-05,-4.7473844e-05
4.555555555555555,-8.832818e-05,-3.7046815e-05
4.666666666666666,-0.000117490265,-7.399289e-05
4.777777777777778,-7.087508e-05,-5.1969073e-05
4.888888888888888,-8.128613e-05,-0.00010473899
5.0,-0.0001344588,-6.134369e-05
5.111111111111111,-6.188675e-05,-5.3957232e-05
5.222222222222222,-0.00010542067,-5.7025398e-05
5.333333333333333,-6.944413e-05,-6.4107946e-05
5.444444444444444,-8.243104e-05,-4.695929e-05
5.555555555555555,-6.546905e-05,-5.4579126e-05
5.666666666666666,-5.043157e-05,-1.4178693e-05
5.777777777777778,-6.82203e-05,-5.614988e-05
5.888888888888888,-9.0589856e-05,-4.605105e-05
6.0,-9.585501e-05,-3.7133625e-05
6.111111111111111,-6.112904e-05,-4.8559086e-05
6.222222222222221,-5.4659544e-05,-7.806245e-05
6.333333333333333,-6.461695e-05,-4.8613045e-05
6.444444444444444,-5.081637e-05,-7.0076596e-05
6.555555555555555,-4.230655e-05,-6.569152e-05
6.666666666666666,-7.2896306e-05,-5.562439e-05
6.777777777777778,-5.6412293e-05,-4.6758146e-06
6.888888888888888,-3.9135706e-05,1.8586117e-05
7.0,-3.36957e-05,6.9328935e-06
7.111111111111111,-6.824534e-05,-3.883034e-05
7.222222222222221,-5.9593764e-05,-5.7713587e-05
7.333333333333333,-5.280953e-05,-2.347496e-05
7.444444444444444,-4.3574622e-05,-2.8762057e-05
7.555555555555555,-5.2516312e-05,-3.4392287e-05
7.666666666666666,-6.920618e-05,-2.457082e-05
7.777777777777778,-2.6709336e-05,-3.0448857e-07
7.888888888888888,-5.125393e-05,-4.8631562e-05
8.0,-4.6020366e-05,9.063523e-06
8.11111111111111,-2.2994667e-05,-6.7678004e-05
8.222222222222221,-5.6359077e-05,9.56619e-06
8.333333333333332,-6.08212e-05,4.660448e-06
8.444444444444445,-7.9303165e-05,-3.4177814e-05
8.555555555555555,-8.218323e-05,-9.110424e-06
