Eigenvalue
344679.5336577823
-64.8920030516654
-71.8215329113611
-76.60873822554706
-79.19619425587386
-81.15160623751407
-82.21920890839853
-86.8464653070372
-88.51891190937963
-90.72439395413599
-94.10410006266989
-96.94447548269969
-98.56973905383836
-101.54554598464844
-101.84051955139289
-105.50160767254087
-107.48861457895681
-109.3504910387432
-112.78362509833772
-114.49009500395411
-117.30911541186728
-120.24932806953468
-122.61305166168813
-123.87909504730167
-125.96881117006808
-126.77830727702188
-129.7185034659337
-130.86759222535326
-133.50256772176027
-135.3045579177817
-139.88945284941536
-141.50427386715464
-144.453232727283
-146.77331924996355
-148.68167968407673
-154.8980832278368
-156.43975260577753
-159.5806603805418
-159.87385875607117
-165.09090430011162
-166.60158856575697
-171.03609080998663
-173.383793054111
-175.8580509908345
-178.71301748546645
-180.3599950733305
-182.8280239298653
-190.56887338886494
-194.92057765540406
-195.64391058554114
-198.87614964378312
-200.0362908840463
-203.51942703283578
-206.07092744292794
-207.91581305646878
-208.9119169481566
-214.20586924521018
-220.48192846727133
-226.6289292057477
-228.8865122275695
-234.47096655659502
-236.99197695758835
-237.49132571281083
-242.85009144031693
-244.62818296988
-249.11842017254378
-255.81408212434448
-261.9770105894115
-268.479864130408
-269.41510793054596
-276.9052542961545
-278.4523191053028
-284.1155310829602
-287.91007158683016
-296.02816210023445
-297.4989161448786
-306.04945763742677
-313.2969893444693
-321.4402277045064
-328.0113664821921
-334.6226938321749
-344.33726526655477
-350.5655179020448
-354.36021191683005
-367.5292516110079
-371.1502644675401
-381.65393412846765
-393.75383559222723
-394.76143129020875
-407.16182699508835
-411.2045098952004
-419.7963280338498
-440.8751694087854
-446.4700583354044
-461.16446268711877
-463.9592086804825
-478.93180495818797
-492.15321500266714
-498.08260632114485
-519.3873805256393
-533.8351479432598
-543.0244823589609
-555.1289055820071
-570.5903959350935
-587.6574810142133
-614.146566319071
-637.3440936539931
-667.6206608180073
-680.3781861698021
-713.3821953618939
-731.035517997295
-739.8866744110063
-787.7968648497098
-820.6254098982563
-881.1698225968134
-909.6452078892669
-930.0224296726459
-1004.7929827819618
-1021.1512276695062
-1063.491892147681
-1100.8693105929908
-1134.854922174801
-1163.4008006556687
-1252.271428271608
-1434.1282937778396
-1455.7520204680065
-1558.9326113082102
-1583.8799754249853
-1875.3090288252401
-2048.3587308263436
-2249.601419421603
-2601.854559668374
-2701.088385745747
-3091.650707153356
-3351.0438357676826
-4042.123808179329
-4445.569790396875
-4820.565010749924
-7576.847626838645
-7985.3491054602255
-8972.445421901964
-13380.997877348607
-19663.90701476604
-50067.246379893695
-157832.47144457567
